policy_id,month,age,tenure_m,premium,coverage,region,has_agent,is_smoker,dependents,lapse_next_3m,post_event_notice_sent,split
P00260,2023-04,57,39,147.15,29977.58,south,1,0,1,1,0,train
P01557,2023-08,78,40,123.72,18864.92,coastal,0,1,0,1,1,train
P01457,2023-01,84,7,60.6,14667.36,central,1,0,1,0,0,train
P01788,2023-08,24,24,25.91,9035.37,central,0,0,0,0,0,train
P01734,2023-05,76,50,46.01,7255.54,central,1,1,0,0,0,train
P00309,2023-08,39,26,29.71,5000.0,coastal,0,0,0,1,1,train
P00302,2023-05,74,17,150.79,30671.16,central,1,0,0,0,0,train
P00317,2023-03,67,45,108.62,13736.81,central,0,0,3,1,0,train
P01028,2023-02,37,13,220.91,45834.78,central,0,0,2,0,0,train
P01952,2023-02,59,3,52.91,7506.35,north,0,1,0,0,0,train
P00089,2023-01,70,9,41.24,7138.8,central,1,1,0,1,1,train
P01800,2023-08,53,22,21.54,5000.0,north,0,0,0,0,0,train
P01696,2023-04,64,44,34.2,7205.14,coastal,0,0,0,0,0,train
P00756,2023-02,47,21,144.74,40441.67,central,1,0,0,0,0,train
P00882,2023-04,75,61,63.51,12869.59,central,0,0,1,0,1,train
P01480,2023-12,46,42,101.13,15371.41,south,0,0,2,1,1,test
P00390,2023-12,28,36,71.06,15275.15,coastal,1,1,1,1,1,test
P00126,2023-11,56,30,113.03,24952.47,central,1,0,1,0,0,test
P01651,2023-04,30,10,51.4,10908.12,south,0,0,0,0,0,train
P01343,2023-07,26,20,104.82,19941.23,north,0,1,2,1,1,train
P01580,2023-06,58,49,43.89,9095.48,south,1,1,0,0,0,train
P01091,2023-09,52,62,199.92,40516.17,central,1,0,0,0,0,val
P01853,2023-12,48,37,61.66,17438.13,north,0,0,0,0,0,test
P01455,2023-08,56,44,97.69,20054.73,central,1,0,2,0,0,train
P01461,2023-09,71,15,69.88,18946.66,south,1,0,1,0,0,val
P00933,2023-06,35,35,153.88,30897.71,north,1,0,1,1,1,train
P00104,2023-11,18,12,204.57,45800.41,north,0,0,0,0,0,test
P00196,2023-03,23,39,40.39,9338.94,coastal,1,1,0,0,0,train
P00309,2023-09,39,27,29.71,5000.0,coastal,0,0,0,1,1,val
P01764,2023-10,58,18,134.33,35652.33,coastal,1,0,1,1,1,val
P01517,2023-09,50,24,63.88,14798.72,coastal,1,0,1,0,0,val
P01536,2023-11,20,42,59.83,15091.65,central,1,0,0,1,1,test
P01952,2023-01,59,2,52.91,7506.35,north,0,1,0,0,0,train
P01913,2023-09,18,23,31.21,9697.73,central,1,0,0,0,0,val
P00943,2023-06,80,12,32.47,10608.23,central,1,0,0,0,0,train
P00960,2023-11,46,13,29.63,6858.72,central,1,0,2,0,0,test
P01887,2023-05,62,50,341.68,59551.5,coastal,1,0,0,1,0,train
P00629,2023-04,52,10,40.26,9248.28,coastal,0,0,1,1,0,train
P00116,2023-04,56,16,123.57,25308.17,coastal,0,1,2,0,0,train
P00718,2023-12,51,50,74.27,15597.34,central,0,1,1,0,0,test
P00560,2023-08,75,59,239.09,49239.95,south,1,0,2,0,0,train
P00905,2023-05,49,16,245.05,53232.23,central,1,0,0,1,1,train
P01153,2023-04,47,21,148.4,37580.72,north,1,0,2,1,1,train
P01832,2023-08,82,26,128.06,25414.11,central,1,0,2,0,0,train
P00210,2023-01,70,17,17.55,5000.0,central,1,0,1,0,0,train
P00157,2023-02,26,7,136.71,29704.11,coastal,1,0,0,0,0,train
P01565,2023-12,55,26,76.55,20173.82,central,1,0,0,1,1,test
P01948,2023-05,80,43,76.49,14172.68,north,0,0,0,0,0,train
P00186,2023-10,48,46,129.38,24323.19,north,1,1,1,1,1,val
P01997,2023-06,55,64,66.41,16086.51,central,1,0,2,1,1,train
P00088,2023-09,39,20,28.75,5030.18,north,1,0,2,1,1,val
P00241,2023-06,27,11,32.42,10593.17,south,0,0,0,0,0,train
P00967,2023-07,58,21,43.81,7395.47,north,1,0,1,0,0,train
P00415,2023-10,19,45,78.41,26435.51,coastal,1,0,0,0,0,val
P00973,2023-03,50,60,49.42,13292.97,north,1,0,1,1,0,train
P00376,2023-06,24,30,19.88,5000.0,coastal,1,0,1,0,0,train
P01308,2023-04,34,54,100.56,14584.98,central,1,1,0,1,1,train
P00024,2023-05,81,7,226.06,41460.16,central,0,0,0,0,0,train
P01582,2023-09,32,27,72.97,13809.83,north,0,0,1,0,0,val
P01227,2023-12,25,67,163.56,28406.1,north,0,0,0,0,0,test
P01373,2023-02,48,52,94.47,18606.3,coastal,1,1,0,0,0,train
P00996,2023-01,60,14,86.85,15893.15,north,1,0,3,0,0,train
P01742,2023-04,68,6,34.07,10714.7,north,1,0,2,1,0,train
P01367,2023-09,38,48,62.93,14464.99,coastal,1,0,0,1,1,val
P00616,2023-08,61,34,52.81,11495.72,coastal,0,0,2,0,0,train
P00830,2023-01,19,35,85.15,16062.81,central,0,1,1,0,0,train
P00508,2023-12,34,26,35.52,11578.15,central,0,0,2,1,0,test
P00832,2023-04,34,12,142.65,31094.62,south,0,0,1,0,0,train
P00981,2023-02,58,9,15.56,5372.78,south,1,0,0,0,0,train
P01089,2023-01,62,49,323.88,60522.61,north,1,0,0,1,0,train
P00513,2023-05,75,37,25.16,5000.0,central,0,0,0,0,0,train
P01191,2023-04,46,39,127.04,26022.61,coastal,1,1,1,0,0,train
P00385,2023-03,20,22,30.07,7673.36,south,1,0,0,0,0,train
P01916,2023-12,53,22,107.12,16664.04,coastal,0,1,0,0,0,test
P01303,2023-10,65,69,78.57,23507.0,central,0,0,2,0,0,val
P01473,2023-01,48,28,84.58,13362.11,north,0,1,1,0,0,train
P00409,2023-07,81,36,30.02,6903.5,south,1,0,1,0,0,train
P01321,2023-03,25,44,114.05,19223.26,coastal,0,0,2,0,0,train
P01220,2023-12,47,56,65.93,15937.02,coastal,0,0,0,0,0,test
P01533,2023-08,81,43,25.65,10189.26,central,0,0,0,1,1,train
P01009,2023-10,67,24,119.46,21612.92,coastal,1,1,4,0,0,val
P00791,2023-06,24,35,65.4,10909.61,north,1,1,2,1,1,train
P00553,2023-03,74,48,105.14,21200.8,coastal,1,0,1,0,0,train
P00537,2023-02,48,27,73.43,18414.33,north,1,0,2,0,0,train
P00915,2023-04,58,25,159.98,37506.73,coastal,1,0,0,0,0,train
P01982,2023-04,60,5,131.07,24375.4,coastal,1,1,0,1,1,train
P01379,2023-01,52,6,105.63,18736.61,coastal,0,0,0,1,1,train
P01439,2023-02,39,7,76.55,13592.89,central,1,1,2,1,1,train
P00284,2023-07,51,21,115.99,39406.86,central,1,0,0,1,1,train
P01354,2023-12,80,61,165.61,31418.58,central,1,0,0,0,0,test
P00254,2023-12,40,25,115.31,28112.22,central,1,1,1,1,1,test
P00054,2023-05,49,49,181.06,45571.2,coastal,0,0,1,0,0,train
P00477,2023-08,75,13,44.11,8372.41,central,0,0,2,0,0,train
P00497,2023-02,26,6,870.63,136104.86,south,0,1,0,0,0,train
P01942,2023-10,35,10,42.91,11277.41,coastal,1,0,2,0,0,val
P01957,2023-04,53,39,97.35,27079.58,coastal,0,0,0,0,0,train
P01704,2023-02,31,5,56.82,13841.34,north,1,0,1,0,0,train
P00775,2023-02,75,35,50.72,10870.58,central,0,0,1,0,0,train
P00152,2023-07,37,41,95.69,23209.14,south,0,0,0,0,0,train
P00650,2023-06,75,34,130.57,23790.24,north,0,0,1,0,0,train
P01374,2023-05,46,38,34.25,6741.69,coastal,1,0,2,0,0,train
P01397,2023-05,60,50,112.11,22342.26,coastal,1,1,0,0,0,train
P01330,2023-08,41,11,21.79,5000.0,central,0,0,1,0,1,train
P00388,2023-10,74,59,147.46,24480.92,coastal,0,0,0,1,0,val
P01061,2023-04,70,18,181.13,44508.31,south,0,0,1,1,1,train
P00126,2023-04,56,23,113.03,24952.47,central,1,0,1,0,0,train
P01683,2023-07,20,62,268.58,54187.36,coastal,0,0,1,1,1,train
P01133,2023-05,72,15,142.87,26333.93,south,1,0,0,0,0,train
P01799,2023-01,50,57,43.19,13566.2,central,0,0,0,0,0,train
P01126,2023-11,75,17,174.16,41456.01,central,1,0,0,0,0,test
P01588,2023-10,23,45,389.4,90183.95,coastal,0,1,1,0,0,val
P00137,2023-01,58,60,82.66,20733.3,central,0,0,2,0,0,train
P00863,2023-04,26,4,344.02,82332.18,south,0,0,0,1,0,train
P00747,2023-01,54,48,50.6,17756.37,north,1,0,1,1,1,train
P00312,2023-03,63,21,45.39,10632.58,south,0,0,0,1,0,train
P00257,2023-06,64,41,19.16,5000.0,north,1,0,0,0,0,train
P00372,2023-04,62,14,169.04,23273.22,south,1,1,1,1,1,train
P00991,2023-05,41,55,116.34,25847.76,coastal,0,0,1,0,0,train
P00017,2023-08,52,51,41.76,10969.23,central,0,0,0,1,1,train
P01406,2023-12,28,20,204.97,43461.45,coastal,0,0,0,1,1,test
P01757,2023-09,41,10,42.84,7799.62,south,1,1,1,0,0,val
P00021,2023-11,52,69,202.75,33186.69,south,1,1,3,1,1,test
P00947,2023-08,84,25,224.83,59009.15,coastal,1,0,1,1,1,train
P01584,2023-04,46,25,136.81,23413.58,coastal,0,0,1,0,0,train
P01097,2023-02,74,13,41.0,10025.29,coastal,0,0,0,0,0,train
P01226,2023-04,83,9,50.3,9626.33,coastal,0,0,1,0,0,train
P00094,2023-07,44,59,166.31,35485.31,coastal,0,0,1,1,1,train
P01677,2023-04,28,49,143.53,36521.8,central,1,0,2,0,0,train
P00419,2023-11,38,51,106.14,19462.54,south,1,0,1,1,1,test
P00259,2023-05,29,6,68.45,15459.34,central,0,0,2,0,0,train
P00828,2023-08,78,24,99.76,26042.23,central,1,0,0,0,0,train
