policy_id,month,age,tenure_m,premium,coverage,region,has_agent,is_smoker,dependents,lapse_next_3m,post_event_notice_sent,split
P00001,2023-01,73,75,67.09,6059.87,coastal,0,0,0,0,0,train
P00001,2023-02,73,76,70.18,5975.74,coastal,0,0,0,0,0,train
P00001,2023-03,73,77,59.85,5956.2,coastal,0,0,0,0,0,train
P00001,2023-04,73,78,61.32,5960.4,coastal,0,0,0,0,0,train
P00001,2023-05,73,79,66.09,5993.85,coastal,0,0,0,0,0,train
P00001,2023-06,73,80,64.47,6052.2,coastal,0,0,0,0,0,train
P00001,2023-07,73,81,72.25,6119.6,coastal,0,0,0,0,0,train
P00001,2023-08,73,82,70.29,6208.83,coastal,0,0,0,0,0,train
P00002,2023-01,71,0,134.39,11886.85,coastal,0,0,0,0,0,train
P00002,2023-02,71,1,134.16,11875.11,coastal,0,0,0,0,0,train
P00002,2023-03,71,2,123.65,12006.87,coastal,0,0,0,0,0,train
P00002,2023-04,71,3,147.46,12105.62,coastal,0,0,0,0,0,train
P00002,2023-05,71,4,123.62,12155.99,coastal,0,0,0,0,0,train
P00002,2023-06,71,5,140.76,12151.8,coastal,0,0,0,0,0,train
P00002,2023-07,71,6,142.52,12115.59,coastal,0,0,0,0,0,train
P00002,2023-08,71,7,143.05,12116.47,coastal,0,0,0,0,0,train
P00003,2023-01,60,30,88.72,8602.05,center,0,0,4,0,0,train
P00003,2023-02,60,31,97.71,8601.33,center,0,0,4,0,0,train
P00003,2023-03,60,32,90.54,8630.13,center,0,0,4,0,0,train
P00003,2023-04,60,33,106.01,8555.53,center,0,0,4,0,0,train
P00003,2023-05,60,34,101.63,8593.65,center,0,0,4,0,0,train
P00003,2023-06,60,35,91.83,8632.08,center,0,0,4,0,0,train
P00003,2023-07,60,36,109.74,8625.77,center,0,0,4,0,0,train
P00003,2023-08,60,37,93.78,8499.33,center,0,0,4,0,0,train
P00004,2023-01,68,74,113.67,11438.35,north,1,0,1,0,0,train
P00004,2023-02,68,75,136.6,11447.83,north,1,0,1,0,0,train
P00004,2023-03,68,76,117.29,11448.45,north,1,0,1,0,0,train
P00004,2023-04,68,77,143.05,11635.12,north,1,0,1,0,0,train
P00004,2023-05,68,78,130.94,11676.82,north,1,0,1,0,0,train
P00004,2023-06,68,79,131.45,11599.7,north,1,0,1,0,0,train
P00004,2023-07,68,80,133.69,11588.99,north,1,0,1,0,0,train
P00004,2023-08,68,81,137.73,11439.46,north,1,0,1,0,0,train
P00005,2023-01,36,60,59.1,6979.41,center,1,0,1,0,0,train
P00005,2023-02,36,61,60.45,6999.62,center,1,0,1,0,0,train
P00005,2023-03,36,62,49.41,6955.59,center,1,0,1,0,0,train
P00005,2023-04,36,63,57.2,6944.02,center,1,0,1,0,0,train
P00005,2023-05,36,64,53.52,6749.17,center,1,0,1,0,0,train
P00005,2023-06,36,65,51.85,6754.41,center,1,0,1,0,0,train
P00005,2023-07,36,66,63.23,6726.53,center,1,0,1,0,0,train
P00005,2023-08,36,67,60.61,6573.57,center,1,0,1,0,0,train
P00006,2023-01,55,100,117.86,13153.13,north,1,0,1,0,0,train
P00006,2023-02,55,101,130.84,13142.97,north,1,0,1,1,1,train
P00006,2023-03,55,102,132.2,13040.48,north,1,0,1,1,1,train
P00006,2023-04,55,103,121.07,13096.05,north,1,0,1,1,1,train
P00006,2023-05,55,104,120.69,13116.48,north,1,0,1,0,0,train
P00006,2023-06,55,105,115.92,13129.19,north,1,0,1,0,0,train
P00006,2023-07,55,106,136.77,13274.49,north,1,0,1,0,0,train
P00006,2023-08,55,107,127.63,13314.08,north,1,0,1,0,0,train
P00007,2023-01,47,11,140.22,14529.58,center,0,0,0,0,0,train
P00007,2023-02,47,12,139.89,14369.16,center,0,0,0,0,0,train
P00007,2023-03,47,13,121.25,14499.52,center,0,0,0,0,0,train
P00007,2023-04,47,14,136.05,14468.81,center,0,0,0,0,0,train
P00007,2023-05,47,15,119.58,14551.33,center,0,0,0,0,0,train
P00007,2023-06,47,16,130.45,14677.93,center,0,0,0,0,0,train
P00007,2023-07,47,17,134.94,14392.1,center,0,0,0,0,0,train
P00007,2023-08,47,18,141.48,14360.0,center,0,0,0,0,0,train
P00008,2023-01,27,7,143.84,17094.13,center,1,0,1,0,0,train
P00008,2023-02,27,8,144.54,17022.54,center,1,0,1,0,0,train
P00008,2023-03,27,9,131.59,17125.19,center,1,0,1,0,0,train
P00008,2023-04,27,10,141.29,17214.73,center,1,0,1,0,0,train
P00008,2023-05,27,11,131.84,17120.47,center,1,0,1,0,0,train
P00008,2023-06,27,12,135.52,16861.46,center,1,0,1,0,0,train
P00008,2023-07,27,13,147.36,16645.92,center,1,0,1,0,0,train
P00008,2023-08,27,14,127.93,16489.17,center,1,0,1,0,0,train
P00009,2023-01,45,73,86.97,8817.14,center,0,1,1,0,0,train
P00009,2023-02,45,74,91.62,8706.99,center,0,1,1,0,0,train
P00009,2023-03,45,75,88.38,8624.43,center,0,1,1,0,0,train
P00009,2023-04,45,76,89.21,8584.36,center,0,1,1,0,0,train
P00009,2023-05,45,77,86.78,8670.45,center,0,1,1,0,0,train
P00009,2023-06,45,78,100.89,8732.4,center,0,1,1,0,0,train
P00009,2023-07,45,79,102.18,8773.76,center,0,1,1,1,1,train
P00009,2023-08,45,80,110.72,8791.39,center,0,1,1,1,1,train
P00010,2023-01,66,11,62.17,6129.94,coastal,1,0,0,0,0,train
P00010,2023-02,66,12,62.58,6151.44,coastal,1,0,0,0,0,train
P00010,2023-03,66,13,65.96,6090.41,coastal,1,0,0,0,0,train
P00010,2023-04,66,14,63.23,6086.0,coastal,1,0,0,0,0,train
P00010,2023-05,66,15,65.24,6045.9,coastal,1,0,0,0,0,train
