policy_id,month,age,tenure_m,premium,coverage,region,has_agent,is_smoker,dependents,lapse_next_3m,post_event_notice_sent,split
P00260,2023-04,57,39,147.15,29977.58,south,1,0,1,1,0,train
P01557,2023-08,78,40,123.72,18864.92,coastal,0,1,0,1,1,train
P01457,2023-01,84,7,60.6,14667.36,central,1,0,1,0,0,train
P01788,2023-08,24,24,25.91,9035.37,central,0,0,0,0,0,train
P01734,2023-05,76,50,46.01,7255.54,central,1,1,0,0,0,train
P00309,2023-08,39,26,29.71,5000.0,coastal,0,0,0,1,1,train
P00302,2023-05,74,17,150.79,30671.16,central,1,0,0,0,0,train
P00317,2023-03,67,45,108.62,13736.81,central,0,0,3,1,0,train
P01028,2023-02,37,13,220.91,45834.78,central,0,0,2,0,0,train
P01952,2023-02,59,3,52.91,7506.35,north,0,1,0,0,0,train
P00089,2023-01,70,9,41.24,7138.8,central,1,1,0,1,1,train
P01800,2023-08,53,22,21.54,5000.0,north,0,0,0,0,0,train
P01696,2023-04,64,44,34.2,7205.14,coastal,0,0,0,0,0,train
P00756,2023-02,47,21,144.74,40441.67,central,1,0,0,0,0,train
P00882,2023-04,75,61,63.51,12869.59,central,0,0,1,0,1,train
P01651,2023-04,30,10,51.4,10908.12,south,0,0,0,0,0,train
P01343,2023-07,26,20,104.82,19941.23,north,0,1,2,1,1,train
P01580,2023-06,58,49,43.89,9095.48,south,1,1,0,0,0,train
P01455,2023-08,56,44,97.69,20054.73,central,1,0,2,0,0,train
P00933,2023-06,35,35,153.88,30897.71,north,1,0,1,1,1,train
P00196,2023-03,23,39,40.39,9338.94,coastal,1,1,0,0,0,train
P01952,2023-01,59,2,52.91,7506.35,north,0,1,0,0,0,train
P00943,2023-06,80,12,32.47,10608.23,central,1,0,0,0,0,train
P01887,2023-05,62,50,341.68,59551.5,coastal,1,0,0,1,0,train
P00629,2023-04,52,10,40.26,9248.28,coastal,0,0,1,1,0,train
P00116,2023-04,56,16,123.57,25308.17,coastal,0,1,2,0,0,train
P00560,2023-08,75,59,239.09,49239.95,south,1,0,2,0,0,train
P00905,2023-05,49,16,245.05,53232.23,central,1,0,0,1,1,train
P01153,2023-04,47,21,148.4,37580.72,north,1,0,2,1,1,train
P01832,2023-08,82,26,128.06,25414.11,central,1,0,2,0,0,train
P00210,2023-01,70,17,17.55,5000.0,central,1,0,1,0,0,train
P00157,2023-02,26,7,136.71,29704.11,coastal,1,0,0,0,0,train
P01948,2023-05,80,43,76.49,14172.68,north,0,0,0,0,0,train
P01997,2023-06,55,64,66.41,16086.51,central,1,0,2,1,1,train
P00241,2023-06,27,11,32.42,10593.17,south,0,0,0,0,0,train
P00967,2023-07,58,21,43.81,7395.47,north,1,0,1,0,0,train
P00973,2023-03,50,60,49.42,13292.97,north,1,0,1,1,0,train
P00376,2023-06,24,30,19.88,5000.0,coastal,1,0,1,0,0,train
P01308,2023-04,34,54,100.56,14584.98,central,1,1,0,1,1,train
P00024,2023-05,81,7,226.06,41460.16,central,0,0,0,0,0,train
P01373,2023-02,48,52,94.47,18606.3,coastal,1,1,0,0,0,train
P00996,2023-01,60,14,86.85,15893.15,north,1,0,3,0,0,train
P01742,2023-04,68,6,34.07,10714.7,north,1,0,2,1,0,train
P00616,2023-08,61,34,52.81,11495.72,coastal,0,0,2,0,0,train
P00830,2023-01,19,35,85.15,16062.81,central,0,1,1,0,0,train
P00832,2023-04,34,12,142.65,31094.62,south,0,0,1,0,0,train
P00981,2023-02,58,9,15.56,5372.78,south,1,0,0,0,0,train
P01089,2023-01,62,49,323.88,60522.61,north,1,0,0,1,0,train
P00513,2023-05,75,37,25.16,5000.0,central,0,0,0,0,0,train
P01191,2023-04,46,39,127.04,26022.61,coastal,1,1,1,0,0,train
P00385,2023-03,20,22,30.07,7673.36,south,1,0,0,0,0,train
P01473,2023-01,48,28,84.58,13362.11,north,0,1,1,0,0,train
P00409,2023-07,81,36,30.02,6903.5,south,1,0,1,0,0,train
P01321,2023-03,25,44,114.05,19223.26,coastal,0,0,2,0,0,train
P01533,2023-08,81,43,25.65,10189.26,central,0,0,0,1,1,train
P00791,2023-06,24,35,65.4,10909.61,north,1,1,2,1,1,train
P00553,2023-03,74,48,105.14,21200.8,coastal,1,0,1,0,0,train
P00537,2023-02,48,27,73.43,18414.33,north,1,0,2,0,0,train
P00915,2023-04,58,25,159.98,37506.73,coastal,1,0,0,0,0,train
P01982,2023-04,60,5,131.07,24375.4,coastal,1,1,0,1,1,train
P01379,2023-01,52,6,105.63,18736.61,coastal,0,0,0,1,1,train
P01439,2023-02,39,7,76.55,13592.89,central,1,1,2,1,1,train
P00284,2023-07,51,21,115.99,39406.86,central,1,0,0,1,1,train
P00054,2023-05,49,49,181.06,45571.2,coastal,0,0,1,0,0,train
P00477,2023-08,75,13,44.11,8372.41,central,0,0,2,0,0,train
P00497,2023-02,26,6,870.63,136104.86,south,0,1,0,0,0,train
P01957,2023-04,53,39,97.35,27079.58,coastal,0,0,0,0,0,train
P01704,2023-02,31,5,56.82,13841.34,north,1,0,1,0,0,train
P00775,2023-02,75,35,50.72,10870.58,central,0,0,1,0,0,train
P00152,2023-07,37,41,95.69,23209.14,south,0,0,0,0,0,train
P00650,2023-06,75,34,130.57,23790.24,north,0,0,1,0,0,train
P01374,2023-05,46,38,34.25,6741.69,coastal,1,0,2,0,0,train
P01397,2023-05,60,50,112.11,22342.26,coastal,1,1,0,0,0,train
P01330,2023-08,41,11,21.79,5000.0,central,0,0,1,0,1,train
P01061,2023-04,70,18,181.13,44508.31,south,0,0,1,1,1,train
P00126,2023-04,56,23,113.03,24952.47,central,1,0,1,0,0,train
P01683,2023-07,20,62,268.58,54187.36,coastal,0,0,1,1,1,train
P01133,2023-05,72,15,142.87,26333.93,south,1,0,0,0,0,train
P01799,2023-01,50,57,43.19,13566.2,central,0,0,0,0,0,train
P00137,2023-01,58,60,82.66,20733.3,central,0,0,2,0,0,train
P00863,2023-04,26,4,344.02,82332.18,south,0,0,0,1,0,train
P00747,2023-01,54,48,50.6,17756.37,north,1,0,1,1,1,train
P00312,2023-03,63,21,45.39,10632.58,south,0,0,0,1,0,train
P00257,2023-06,64,41,19.16,5000.0,north,1,0,0,0,0,train
P00372,2023-04,62,14,169.04,23273.22,south,1,1,1,1,1,train
P00991,2023-05,41,55,116.34,25847.76,coastal,0,0,1,0,0,train
P00017,2023-08,52,51,41.76,10969.23,central,0,0,0,1,1,train
P00947,2023-08,84,25,224.83,59009.15,coastal,1,0,1,1,1,train
P01584,2023-04,46,25,136.81,23413.58,coastal,0,0,1,0,0,train
P01097,2023-02,74,13,41.0,10025.29,coastal,0,0,0,0,0,train
P01226,2023-04,83,9,50.3,9626.33,coastal,0,0,1,0,0,train
P00094,2023-07,44,59,166.31,35485.31,coastal,0,0,1,1,1,train
P01677,2023-04,28,49,143.53,36521.8,central,1,0,2,0,0,train
P00259,2023-05,29,6,68.45,15459.34,central,0,0,2,0,0,train
P00828,2023-08,78,24,99.76,26042.23,central,1,0,0,0,0,train
P00837,2023-03,72,38,83.64,12339.31,coastal,0,1,1,0,0,train
P00393,2023-04,42,57,36.93,6821.88,coastal,0,1,1,0,0,train
P01604,2023-06,39,12,817.34,197461.4,north,0,0,1,1,1,train
P00744,2023-04,36,41,388.3,87116.48,south,1,1,1,1,1,train
P00925,2023-05,34,24,280.66,58208.91,coastal,1,0,0,1,1,train
P01892,2023-03,34,54,49.45,14233.79,south,1,0,0,0,0,train
P00161,2023-02,85,3,31.77,5000.0,coastal,0,1,0,0,0,train
P00761,2023-06,29,29,139.51,24566.71,central,0,0,1,0,0,train
P01489,2023-08,25,41,211.17,63879.73,coastal,1,0,0,1,1,train
P00393,2023-01,42,54,36.93,6821.88,coastal,0,1,1,0,0,train
P00785,2023-05,50,7,134.49,27722.28,coastal,1,0,3,0,1,train
P01664,2023-06,55,41,86.91,19160.5,coastal,1,1,0,0,0,train
P01875,2023-08,45,36,42.39,10957.82,coastal,1,0,0,0,0,train
P01364,2023-01,31,37,25.43,5000.0,south,0,0,1,0,0,train
P00416,2023-03,64,4,179.38,33429.37,north,1,0,0,1,1,train
P00530,2023-08,80,50,89.64,16152.52,coastal,1,1,0,0,0,train
P00851,2023-02,84,31,157.16,25559.59,coastal,1,1,0,0,0,train
P00158,2023-06,55,30,113.2,29817.42,coastal,1,0,3,1,1,train
P00708,2023-06,56,23,1155.26,225789.46,central,0,1,1,1,1,train
P01006,2023-07,80,52,79.39,12226.94,south,1,0,0,0,0,train
P01816,2023-08,25,44,220.54,40710.9,central,1,0,0,1,1,train
P01399,2023-02,19,36,50.85,9703.0,coastal,1,0,1,0,0,train
P00920,2023-04,61,15,97.62,18154.06,south,1,0,0,0,0,train
P00592,2023-06,79,24,130.11,20674.69,coastal,1,1,1,0,0,train
P01412,2023-05,56,52,81.91,17907.0,south,1,0,0,0,0,train
P00943,2023-03,80,9,32.47,10608.23,central,1,0,0,0,0,train
P01992,2023-03,47,21,83.7,22707.84,north,0,0,1,0,0,train
P01846,2023-04,59,23,72.72,19991.53,central,1,0,2,0,0,train
P01089,2023-04,62,52,323.88,60522.61,north,1,0,0,1,1,train
P01572,2023-02,42,55,84.88,17870.84,central,0,0,1,0,0,train
P00339,2023-04,31,20,277.46,67325.86,south,1,1,3,1,1,train
P00923,2023-08,48,36,94.39,37742.21,central,1,0,1,0,0,train
P00202,2023-01,79,1,182.39,41712.86,central,0,0,1,1,1,train
P01928,2023-03,26,52,90.1,20932.97,central,1,1,1,0,0,train
P00719,2023-02,34,52,389.29,68697.84,central,0,0,0,0,0,train
P01210,2023-03,83,54,75.66,15152.85,coastal,1,1,1,0,0,train
